loading	Gene.name
ENSG00000148218	-0.0135041245089194	ALAD
ENSG00000101152	0.013502189590174	DNAJC5
ENSG00000177556	0.0135018615324016	ATOX1
ENSG00000093009	0.013499030116992	CDC45
ENSG00000177614	0.0134988915289846	PGBD5
ENSG00000134245	-0.0134963710524142	WNT2B
ENSG00000100170	0.0134921575077243	SLC5A1
ENSG00000213593	0.0134920892306269	TMX2
ENSG00000105063	0.0134913223140277	PPP6R1
ENSG00000135063	-0.0134907516176228	ENTREP1
ENSG00000171236	0.0134903865239213	LRG1
ENSG00000147509	0.0134886433360528	RGS20
ENSG00000021355	0.0134884327343886	SERPINB1
ENSG00000104728	-0.0134865966767507	ARHGEF10
ENSG00000164062	0.0134811030387533	APEH
ENSG00000169129	0.0134810017727943	AFAP1L2
ENSG00000105402	0.0134801762716869	NAPA
ENSG00000138640	-0.0134790004550803	FAM13A
ENSG00000157193	0.0134781711961559	LRP8
ENSG00000168461	0.0134779871203183	RAB31
ENSG00000064309	-0.0134773274693181	CDON
ENSG00000178999	0.01347667217713	AURKB
ENSG00000151623	-0.0134749350544775	NR3C2
ENSG00000143870	0.0134746953065418	PDIA6
ENSG00000181333	0.0134740724438563	HEPHL1
ENSG00000129455	0.0134699798414068	KLK8
ENSG00000126067	0.0134692955330153	PSMB2
ENSG00000227300	0.0134649902289432	KRT16P2
ENSG00000106078	-0.013458477358864	COBL
ENSG00000120053	0.0134568606294068	GOT1
ENSG00000102575	0.0134549760558795	ACP5
ENSG00000198814	0.0134545466958552	GK
ENSG00000005194	0.0134543960461929	CIAPIN1
ENSG00000196214	-0.0134541900571382	ZNF766
ENSG00000259316	0.0134521801414125	NA
ENSG00000118242	0.0134518040117035	MREG
ENSG00000116260	0.0134472097588873	QSOX1
ENSG00000103005	0.0134467210151816	USB1
ENSG00000113387	0.0134464122625491	SUB1
ENSG00000172269	0.0134457744014517	DPAGT1
ENSG00000108561	0.013445601488593	C1QBP
ENSG00000140564	0.013445367473749	FURIN
ENSG00000221926	0.0134422950418975	TRIM16
ENSG00000254087	0.0134415450848295	LYN
ENSG00000166451	0.0134381043908469	CENPN
ENSG00000189334	0.0134376296133477	S100A14
ENSG00000159166	0.0134372106826978	LAD1
ENSG00000112146	0.0134368647211021	FBXO9
ENSG00000150753	0.0134343483663179	CCT5
ENSG00000183520	0.0134282948805191	UTP11
ENSG00000125166	0.0134278051962722	GOT2
ENSG00000100911	0.0134267375509495	PSME2
ENSG00000143878	-0.0134255519043008	RHOB
ENSG00000187838	0.0134254828148125	PLSCR3
ENSG00000118939	0.0134242027709505	UCHL3
ENSG00000151014	0.0134240884185699	NOCT
ENSG00000103653	0.0134228212203564	CSK
ENSG00000181991	0.0134219245354686	MRPS11
ENSG00000113407	0.0134213331793314	TARS1
ENSG00000109861	0.0134195975721685	CTSC
ENSG00000125977	0.0134191326383632	EIF2S2
ENSG00000087586	0.0134154704529246	AURKA
ENSG00000126453	0.0134142942551703	BCL2L12
ENSG00000104660	0.0134132119694296	LEPROTL1
ENSG00000116459	0.0134122530781124	ATP5PB
ENSG00000183684	0.0134076941757233	ALYREF
ENSG00000108826	0.0134071351136541	MRPL27
ENSG00000068383	-0.0134058573190513	INPP5A
ENSG00000137440	0.0134051636240066	FGFBP1
ENSG00000183908	0.0134049537319654	LRRC55
ENSG00000241685	0.0134041810120481	ARPC1A
ENSG00000127948	0.0133976274232653	POR
ENSG00000102921	0.0133973573124484	N4BP1
ENSG00000099901	0.013395615499095	RANBP1
ENSG00000137547	0.0133927365660202	MRPL15
ENSG00000163032	0.0133920415050439	VSNL1
ENSG00000157916	0.0133900210526678	RER1
ENSG00000148248	0.0133881664095235	SURF4
ENSG00000134757	0.0133879766273113	DSG3
ENSG00000122952	0.0133855109831413	ZWINT
ENSG00000139180	0.013385358904331	NDUFA9
ENSG00000062716	0.0133832221613891	VMP1
ENSG00000062038	0.0133827479563415	CDH3
ENSG00000198453	-0.0133820760211196	ZNF568
ENSG00000164828	-0.0133809513832029	SUN1
ENSG00000254093	0.0133735270107523	PINX1
ENSG00000259171	-0.013373489977773	NA
ENSG00000178104	-0.0133730729423981	PDE4DIP
ENSG00000100028	0.0133725814292421	SNRPD3
ENSG00000185338	0.0133685452480768	SOCS1
ENSG00000172531	0.01336839275093	PPP1CA
ENSG00000165238	-0.0133677858552754	WNK2
ENSG00000144118	0.0133669811096466	RALB
ENSG00000167645	0.0133644650058403	YIF1B
ENSG00000154845	0.0133635935035025	PPP4R1
ENSG00000048162	0.0133633726213255	NOP16
ENSG00000168393	0.0133631829444526	DTYMK
ENSG00000165025	0.0133618555331821	SYK
ENSG00000169429	0.0133607514752781	CXCL8
ENSG00000171451	-0.0133581162075422	DSEL
ENSG00000278615	0.0133558324443504	C11orf98
ENSG00000142945	0.0133550610232099	KIF2C
ENSG00000154518	0.0133532926088202	ATP5MC3
ENSG00000160888	0.0133519368050533	IER2
ENSG00000100036	0.0133516981423436	SLC35E4
ENSG00000185585	-0.013350827063546	OLFML2A
ENSG00000153930	-0.0133507222865905	ANKFN1
ENSG00000118705	0.0133506524080808	RPN2
ENSG00000170370	-0.0133472445370286	EMX2
ENSG00000041357	0.013345983721103	PSMA4
ENSG00000162891	0.01334597025296	IL20
ENSG00000175727	-0.0133451412960166	MLXIP
ENSG00000180447	-0.0133448886313593	GAS1
ENSG00000035141	0.0133430959959981	FAM136A
ENSG00000185798	0.0133428679199976	WDR53
ENSG00000071967	-0.0133423366250263	CYBRD1
ENSG00000253731	-0.0133416073847139	PCDHGA6
ENSG00000164045	0.0133405558060137	CDC25A
ENSG00000177156	0.0133372333643386	TALDO1
ENSG00000221890	-0.013336416349729	NPTXR
ENSG00000205413	0.0133355947757594	SAMD9
ENSG00000121691	-0.0133294861309598	CAT
ENSG00000139988	0.0133273605658411	RDH12
ENSG00000177602	0.0133223995607204	HASPIN
